2022-10-25 10:23:02 status half-installed libdeflate0:amd64 1.7-1
2022-10-25 10:23:02 status unpacked libdeflate0:amd64 1.7-1
2022-10-25 10:23:02 install libexpat1:amd64 <none> 2.2.10-2+deb11u4
2022-10-25 10:23:02 status half-installed libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 10:23:02 status unpacked libexpat1:amd64 2.2.10-2+deb11u4
2022-10-25 10:23:02 install libpng16-16:amd64 <none> 1.6.37-3
2022-10-25 10:23:02 status half-installed libpng16-16:amd64 1.6.37-3
2022-10-25 10:23:02 status unpacked libpng16-16:amd64 1.6.37-3
2022-10-25 10:23:02 install libfreetype6:amd64 <none> 2.10.4+dfsg-1+deb11u1
2022-10-25 10:23:02 status half-installed libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2022-10-25 10:23:02 status unpacked libfreetype6:amd64 2.10.4+dfsg-1+deb11u1
2022-10-25 10:23:02 install libfontconfig1:amd64 <none> 2.13.1-4.2
2022-10-25 10:23:02 status half-installed libfontconfig1:amd64 2.13.1-4.2
2022-10-25 10:23:02 status unpacked libfontconfig1:amd64 2.13.1-4.2
2022-10-25 10:23:02 install libjpeg62-turbo:amd64 <none> 1:2.0.6-4
2022-10-25 10:23:02 status half-installed libjpeg62-turbo:amd64 1:2.0.6-4
2022-10-25 10:23:03 status unpacked libjpeg62-turbo:amd64 1:2.0.6-4
2022-10-25 10:23:03 install libjbig0:amd64 <none> 2.1-3.1+b2
2022-10-25 10:23:03 status half-installed libjbig0:amd64 2.1-3.1+b2
2022-10-25 10:23:03 status unpacked libjbig0:amd64 2.1-3.1+b2
2022-10-25 10:23:03 install libwebp6:amd64 <none> 0.6.1-2.1
2022-10-25 10:23:03 status half-installed libwebp6:amd64 0.6.1-2.1
2022-10-25 10:23:03 status unpacked libwebp6:amd64 0.6.1-2.1
2022-10-25 10:23:03 install libtiff5:amd64 <none> 4.2.0-1+deb11u1
2022-10-25 10:23:03 status half-installed libtiff5:amd64 4.2.0-1+deb11u1
2022-10-25 10:23:03 status unpacked libtiff5:amd64 4.2.0-1+deb11u1
2022-10-25 10:23:03 install libxau6:amd64 <none> 1:1.0.9-1
2022-10-25 10:23:03 status half-installed libxau6:amd64 1:1.0.9-1
2022-10-25 10:23:03 status unpacked libxau6:amd64 1:1.0.9-1
2022-10-25 10:23:03 install libxdmcp6:amd64 <none> 1:1.1.2-3
2022-10-25 10:23:03 status half-installed libxdmcp6:amd64 1:1.1.2-3
2022-10-25 10:23:03 status unpacked libxdmcp6:amd64 1:1.1.2-3
2022-10-25 10:23:03 install libxcb1:amd64 <none> 1.14-3
2022-10-25 10:23:03 status half-installed libxcb1:amd64 1.14-3
2022-10-25 10:23:03 status unpacked libxcb1:amd64 1.14-3
2022-10-25 10:23:03 install libx11-data:all <none> 2:1.7.2-1
2022-10-25 10:23:03 status half-installed libx11-data:all 2:1.7.2-1
2022-10-25 10:23:03 status unpacked libx11-data:all 2:1.7.2-1
2022-10-25 10:23:03 install libx11-6:amd64 <none> 2:1.7.2-1
2022-10-25 10:23:03 status half-installed libx11-6:amd64 2:1.7.2-1
2022-10-25 10:23:03 status unpacked libx11-6:amd64 2:1.7.2-1
2022-10-25 10:23:03 install libxpm4:amd64 <none> 1:3.5.12-1
2022-10-25 10:23:03 status half-installed libxpm4:amd64 1:3.5.12-1
2022-10-25 10:23:03 status unpacked libxpm4:amd64 1:3.5.12-1
2022-10-25 10:23:03 install libgd3:amd64 <none> 2.3.0-2
2022-10-25 10:23:03 status half-installed libgd3:amd64 2.3.0-2
2022-10-25 10:23:03 status unpacked libgd3:amd64 2.3.0-2
2022-10-25 10:23:03 install libgeoip1:amd64 <none> 1.6.12-7
2022-10-25 10:23:03 status half-installed libgeoip1:amd64 1.6.12-7
2022-10-25 10:23:03 status unpacked libgeoip1:amd64 1.6.12-7
2022-10-25 10:23:03 install libicu67:amd64 <none> 67.1-7
2022-10-25 10:23:03 status half-installed libicu67:amd64 67.1-7
2022-10-25 10:23:04 status unpacked libicu67:amd64 67.1-7
2022-10-25 10:23:04 install libxml2:amd64 <none> 2.9.10+dfsg-6.7+deb11u2
2022-10-25 10:23:04 status half-installed libxml2:amd64 2.9.10+dfsg-6.7+deb11u2
2022-10-25 10:23:04 status unpacked libxml2:amd64 2.9.10+dfsg-6.7+deb11u2
2022-10-25 10:23:04 install libxslt1.1:amd64 <none> 1.1.34-4+deb11u1
2022-10-25 10:23:04 status half-installed libxslt1.1:amd64 1.1.34-4+deb11u1
2022-10-25 10:23:04 status unpacked libxslt1.1:amd64 1.1.34-4+deb11u1
2022-10-25 10:23:04 install nginx:amd64 <none> 1.23.2-1~bullseye
2022-10-25 10:23:04 status half-installed nginx:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 status unpacked nginx:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 install nginx-module-geoip:amd64 <none> 1.23.2-1~bullseye
2022-10-25 10:23:04 status half-installed nginx-module-geoip:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 status unpacked nginx-module-geoip:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 install nginx-module-image-filter:amd64 <none> 1.23.2-1~bullseye
2022-10-25 10:23:04 status half-installed nginx-module-image-filter:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 status unpacked nginx-module-image-filter:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 install nginx-module-njs:amd64 <none> 1.23.2+0.7.7-1~bullseye
2022-10-25 10:23:04 status half-installed nginx-module-njs:amd64 1.23.2+0.7.7-1~bullseye
2022-10-25 10:23:04 status unpacked nginx-module-njs:amd64 1.23.2+0.7.7-1~bullseye
2022-10-25 10:23:04 install nginx-module-xslt:amd64 <none> 1.23.2-1~bullseye
2022-10-25 10:23:04 status half-installed nginx-module-xslt:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 status unpacked nginx-module-xslt:amd64 1.23.2-1~bullseye
2022-10-25 10:23:04 startup packages configure
2022-10-25 10:23:04 configure libexpat1:amd64 2.2.10-2+deb11u4 <none>
2022-10-25 10:23:04 status unpacked libexpat1:amd64 2.2.10-2+deb11u4
